mlcape,mlcin,srh01
936.667,-13.034,192.192
134.000,-213.258,467.000
1469.500,-2.438,451.632
1533.167,-2.807,86.731
498.000,-5.760,126.339
161.667,-4.968,324.239
386.667,-35.411,196.077
572.667,-3.977,139.662
0.000,-0.006,295.090
20.000,0.098,19.211
661.000,-0.043,183.378
424.000,-50.669,136.366
0.000,0.156,33.902
172.000,-30.192,318.118
910.667,0.281,180.105
186.667,-35.271,123.963
460.833,-6.698,252.725
305.000,-36.048,328.552
103.667,-15.223,200.387
900.000,-32.982,264.394
654.000,-3.629,69.197
155.000,-8.954,3.196
2019.333,-1.000,115.465
3068.833,-6.351,121.433
973.333,-5.375,144.109
2423.333,-7.346,50.538
2730.000,-22.168,99.151
469.500,-11.039,95.628
3073.333,-3.472,25.427
1546.000,-18.120,31.876
1935.000,-1.997,135.502
1117.500,2.336,51.001
2555.667,3.573,45.465
1096.667,-8.727,45.964
230.000,-12.035,63.059
3410.000,-1.406,16.979
449.000,-0.417,85.212
1698.667,-61.408,151.326
2044.000,-18.141,5.723
1878.000,-4.655,27.876
584.000,0.453,4.801
1800.000,-14.728,23.801
15.500,-12.276,-4.037
1704.500,-9.176,41.378
30.167,-192.054,13.049
2563.000,-3.560,74.319
598.833,-2.092,157.817
2941.500,-23.016,56.604
764.000,-35.524,19.507
580.000,-19.608,70.355
804.500,-44.871,191.662
4496.500,-5.587,16.511
1596.000,-13.335,70.955
2150.000,-3.446,14.352
997.333,-4.380,177.270
1727.500,-27.593,105.331
980.000,-1.309,-16.647
482.000,-124.011,46.592
395.667,-0.982,39.914
1024.833,2.778,217.277
2140.000,-4.407,69.308
1580.000,4.324,68.553
1260.000,-9.974,34.163
1478.000,-8.917,141.334
1802.500,-5.178,-0.585
1990.000,-9.063,-4.367
1348.333,-0.634,68.999
1020.000,-28.822,7.731
567.333,-19.415,14.245
2222.000,-2.193,57.341
2240.667,-13.498,109.591
1644.167,-4.589,177.247
2446.667,-1.156,75.519
1475.667,-10.615,94.268
1650.000,-0.202,110.335
685.000,-2.484,241.765
420.000,-1.396,203.711
366.000,-0.782,80.897
1069.000,-22.579,10.324
4120.833,-14.981,51.559
1806.167,-7.456,20.237
1285.000,-12.441,23.101
1685.500,-25.026,39.084
2217.000,-0.219,-5.718
398.333,-19.825,7.261
460.000,-10.859,-7.493
205.333,-15.197,24.242
594.000,-4.973,3.539
2056.667,-16.704,98.435
1843.333,-4.001,38.690
1363.333,-2.102,45.174
329.500,-1.515,121.522
1103.833,-3.708,326.135
1711.000,-0.150,149.710
24.000,-5.396,110.706
269.667,-6.004,78.243
25.000,-22.569,-84.558
1507.333,-0.935,49.909
53.000,-14.320,131.560
301.667,-2.639,61.608
106.500,0.156,127.242
1850.000,-4.993,128.688
722.000,-6.672,141.697
1950.333,-0.538,109.369
90.000,-21.669,296.342
12.667,-4.009,131.837
469.500,-16.889,84.605
1271.667,-4.266,182.991
119.667,-168.439,337.807
123.500,-1.119,303.286
587.333,-65.190,307.238
523.333,-3.884,98.629
1206.000,-3.833,33.886
1181.667,-0.297,118.631
50.000,-6.198,52.774
92.000,-86.104,208.823
1431.333,-125.310,115.518
1416.000,-10.849,165.417
577.500,-7.573,255.595
1016.333,-0.204,206.682
907.500,-5.261,11.565
120.000,-1.861,9.448
510.000,-13.548,218.514
1102.000,-9.631,21.767
2261.000,-40.160,349.045
10.000,-133.179,-185.768
1206.833,-4.663,159.946
3824.000,-10.951,64.910
1760.833,-5.490,48.084
19.000,-51.869,87.364
228.000,-0.024,65.383
2107.500,-6.681,227.044
1630.500,4.016,50.684
1307.500,-0.403,87.697
469.000,-0.263,97.735
671.667,-2.943,1.491
1310.000,-19.541,164.709
548.000,-84.233,90.560
3958.667,-14.609,172.690
686.833,-13.594,16.235
3271.333,-13.975,150.567
881.000,-1.355,137.145
190.000,-15.599,105.664
1194.167,-1.452,2.739
1065.000,-25.898,103.737
737.333,-1.151,80.717
981.000,-1.410,114.394
949.000,-5.426,68.159
382.500,-110.689,209.224
1361.667,-0.387,27.844
635.667,-9.664,33.456
2248.333,-2.339,31.185
2144.333,-35.397,51.529
500.000,-0.806,38.910
639.333,-8.881,71.484
1848.333,-23.930,6.753
547.000,-2.772,55.409
1445.000,-10.029,75.401
1362.500,3.120,74.660
1643.000,-0.315,115.326
735.000,-0.981,59.021
2291.333,-25.913,62.382
1883.000,-10.961,8.141
2475.333,-27.735,55.927
920.000,0.086,125.741
769.500,-9.663,17.606
2580.333,-24.750,44.218
1807.167,0.152,76.559
0.000,0.397,13.846
1826.667,-7.862,16.884
2731.000,-12.594,37.106
1040.000,-5.939,63.792
1300.000,-11.343,53.606
3102.667,-1.480,91.807
1369.000,0.143,22.476
5310.833,-3.829,57.570
4103.333,-24.959,-0.567
1111.667,-13.419,45.724
2941.000,-5.593,37.579
2656.000,-0.563,13.803
1604.167,-3.362,26.214
2370.667,-0.627,15.995
4384.333,-1.102,41.730
849.000,-6.120,43.413
1570.667,-6.168,144.661
2710.000,-3.487,9.307
406.667,-7.699,38.836
180.000,-4.784,56.197
774.500,-31.677,66.749
1635.333,-9.439,61.203
1946.667,-4.122,52.379
365.500,-0.453,35.394
54.167,-8.122,60.110
1680.000,0.363,99.056
839.333,-7.251,121.623
1180.000,-0.582,96.302
1608.667,-4.416,135.242
226.667,-3.875,163.193
10.000,-75.902,71.303
